link,time_30,queue_count_max,queue_len_max
221731899#2.168,0 days 07:02:00,1,24.82342102
221731899#2.168,0 days 07:02:30,0,0
221731899#2.168,0 days 07:04:00,0,0
221731899#2.168,0 days 07:05:00,3,74.92990068
221731899#2.168,0 days 07:05:30,0,0
221731899#2.168,0 days 07:06:00,0,0
221731899#2.168,0 days 07:06:30,3,91.19888564
221731899#2.168,0 days 07:07:00,0,0
221731899#2.168,0 days 07:08:00,1,27.85341208
221731899#2.168,0 days 07:08:30,0,0
221731899#2.168,0 days 07:09:30,4,98.62641487
221731899#2.168,0 days 07:10:00,0,0
221731899#2.168,0 days 07:11:00,4,87.20081663
221731899#2.168,0 days 07:11:30,0,0
221731899#2.168,0 days 07:12:00,0,0
221731899#2.168,0 days 07:12:30,3,59.95765606
221731899#2.168,0 days 07:13:00,0,0
221731899#2.168,0 days 07:14:00,1,24.82342102
221731899#2.168,0 days 07:14:30,0,0
221731899#2.168,0 days 07:15:30,2,57.07654934
221731899#2.168,0 days 07:16:00,0,0
221731899#2.168,0 days 07:16:30,0,0
221731899#2.168,0 days 07:17:00,2,54.71513094
221731899#2.168,0 days 07:17:30,0,0
221731899#2.168,0 days 07:18:00,0,0
221731899#2.168,0 days 07:18:30,2,67.05410627
221731899#2.168,0 days 07:19:00,0,0
221731899#2.168,0 days 07:20:00,2,67.84759761
221731899#2.168,0 days 07:20:30,0,0
221731899#2.168,0 days 07:21:30,2,57.25122566
221731899#2.168,0 days 07:22:00,0,0
221731899#2.168,0 days 07:22:30,0,0
221731899#2.168,0 days 07:23:00,3,77.34240595
221731899#2.168,0 days 07:23:30,0,0
221731899#2.168,0 days 07:24:30,2,54.17758139
221731899#2.168,0 days 07:25:00,0,0
221731899#2.168,0 days 07:25:30,1,24.82342102
221731899#2.168,0 days 07:26:00,3,85.13932832
221731899#2.168,0 days 07:26:30,0,0
221731899#2.168,0 days 07:27:00,1,24.82342102
221731899#2.168,0 days 07:27:30,5,106.1763502
221731899#2.168,0 days 07:28:00,0,0
221731899#2.168,0 days 07:28:30,0,0
221731899#2.168,0 days 07:29:30,0,0
221731899#2.168,0 days 07:30:30,3,54.84737906
221731899#2.168,0 days 07:31:00,0,0
221731899#2.168,0 days 07:32:00,1,24.82342102
221731899#2.168,0 days 07:32:30,0,0
221731899#2.168,0 days 07:33:30,4,105.9125012
221731899#2.168,0 days 07:34:00,0,0
221731899#2.168,0 days 07:35:00,2,69.25984449
221731899#2.168,0 days 07:35:30,0,0
221731899#2.168,0 days 07:36:30,2,68.65169567
221731899#2.168,0 days 07:37:00,0,0
221731899#2.168,0 days 07:38:00,4,95.69872398
221731899#2.168,0 days 07:38:30,0,0
221731899#2.168,0 days 07:39:30,2,59.0320496
221731899#2.168,0 days 07:40:00,0,0
221731899#2.168,0 days 07:40:30,1,24.82342102
221731899#2.168,0 days 07:41:00,3,95.12582395
221731899#2.168,0 days 07:41:30,0,0
221731899#2.168,0 days 07:42:30,2,53.71140094
221731899#2.168,0 days 07:43:00,0,0
221731899#2.168,0 days 07:43:30,1,24.82342102
221731899#2.168,0 days 07:44:00,3,61.5290324
221731899#2.168,0 days 07:44:30,0,0
221731899#2.168,0 days 07:45:00,0,0
221731899#2.168,0 days 07:45:30,4,69.7476151
221731899#2.168,0 days 07:46:00,0,0
221731899#2.168,0 days 07:47:00,4,85.89498548
221731899#2.168,0 days 07:47:30,0,0
221731899#2.168,0 days 07:48:30,3,75.50155864
221731899#2.168,0 days 07:49:00,0,0
221731899#2.168,0 days 07:50:00,2,57.29613045
221731899#2.168,0 days 07:50:30,0,0
221731899#2.168,0 days 07:51:30,1,24.82342102
221731899#2.168,0 days 07:52:00,0,0
221731899#2.168,0 days 07:53:00,2,66.4519084
221731899#2.168,0 days 07:53:30,0,0
221731899#2.168,0 days 07:54:30,2,66.88718948
221731899#2.168,0 days 07:55:00,0,0
221731899#2.168,0 days 07:55:30,1,24.82342102
221731899#2.168,0 days 07:56:00,3,77.8702262
221731899#2.168,0 days 07:56:30,0,0
221731899#2.168,0 days 07:57:30,3,85.24791058
221731899#2.168,0 days 07:58:00,0,0
221731899#2.168,0 days 07:59:00,1,27.85341208
221731899#2.168,0 days 07:59:30,0,0
221731899#2.168,0 days 08:00:00,0,0
221731899#2.168,0 days 08:00:30,3,87.45363759
221731899#2.168,0 days 08:01:00,0,0
221731899#2.168,0 days 08:02:30,0,0
221731899#2.168,0 days 08:03:30,2,62.82217622
221731899#2.168,0 days 08:04:00,0,0
221731899#2.168,0 days 08:05:00,3,88.70896904
221731899#2.168,0 days 08:05:30,0,0
221731899#2.168,0 days 08:06:00,0,0
221731899#2.168,0 days 08:06:30,2,50.53760441
221731899#2.168,0 days 08:07:00,0,0
221731899#2.168,0 days 08:07:30,0,0
221731899#2.168,0 days 08:08:00,2,59.62646185
221731899#2.168,0 days 08:08:30,0,0
221731899#2.168,0 days 08:09:00,1,24.82342102
221731899#2.168,0 days 08:09:30,2,57.01487405
221731899#2.168,0 days 08:10:00,0,0
221731899#2.168,0 days 08:11:00,3,74.28530582
221731899#2.168,0 days 08:11:30,0,0
221731899#2.168,0 days 08:12:00,0,0
221731899#2.168,0 days 08:12:30,2,55.30746997
221731899#2.168,0 days 08:13:00,0,0
221731899#2.168,0 days 08:14:00,2,56.46778531
221731899#2.168,0 days 08:14:30,0,0
221731899#2.168,0 days 08:15:00,0,0
221731899#2.168,0 days 08:15:30,4,93.49234819
221731899#2.168,0 days 08:16:00,0,0
221731899#2.168,0 days 08:17:00,3,86.48312559
221731899#2.168,0 days 08:17:30,0,0
221731899#2.168,0 days 08:18:30,2,53.13278511
221731899#2.168,0 days 08:19:00,0,0
221731899#2.168,0 days 08:20:00,2,55.89513255
221731899#2.168,0 days 08:20:30,0,0
221731899#2.168,0 days 08:21:30,2,54.93258289
221731899#2.168,0 days 08:22:00,0,0
221731899#2.168,0 days 08:22:30,0,0
221731899#2.168,0 days 08:23:00,3,80.41367071
221731899#2.168,0 days 08:23:30,0,0
221731899#2.168,0 days 08:24:30,2,70.1742068
221731899#2.168,0 days 08:25:00,0,0
221731899#2.168,0 days 08:26:00,3,68.95046648
221731899#2.168,0 days 08:26:30,0,0
221731899#2.168,0 days 08:27:30,3,73.82951696
221731899#2.168,0 days 08:28:00,0,0
221731899#2.168,0 days 08:29:00,1,27.85341208
221731899#2.168,0 days 08:29:30,0,0
221731899#2.168,0 days 08:30:00,0,0
221731899#2.168,0 days 08:30:30,3,83.10354124
221731899#2.168,0 days 08:31:00,0,0
221731899#2.168,0 days 08:32:00,2,60.93390994
221731899#2.168,0 days 08:32:30,0,0
221731899#2.168,0 days 08:33:30,3,72.59089967
221731899#2.168,0 days 08:34:00,0,0
221731899#2.168,0 days 08:35:00,3,70.50912409
221731899#2.168,0 days 08:35:30,0,0
221731899#2.168,0 days 08:36:30,1,27.85341208
221731899#2.168,0 days 08:37:00,0,0
221731899#2.168,0 days 08:37:30,0,0
221731899#2.168,0 days 08:38:00,1,27.85341208
221731899#2.168,0 days 08:38:30,0,0
221731899#2.168,0 days 08:39:00,0,0
221731899#2.168,0 days 08:39:30,1,24.82342102
221731899#2.168,0 days 08:40:00,0,0
221731899#2.168,0 days 08:41:00,3,67.46315861
221731899#2.168,0 days 08:41:30,0,0
221731899#2.168,0 days 08:42:30,3,65.80482765
221731899#2.168,0 days 08:43:00,0,0
221731899#2.168,0 days 08:43:30,0,0
221731899#2.168,0 days 08:44:00,3,88.61322562
221731899#2.168,0 days 08:44:30,0,0
221731899#2.168,0 days 08:45:00,0,0
221731899#2.168,0 days 08:45:30,3,80.67817144
221731899#2.168,0 days 08:46:00,0,0
221731899#2.168,0 days 08:47:00,2,54.97554869
221731899#2.168,0 days 08:47:30,0,0
221731899#2.168,0 days 08:48:30,3,73.76025394
221731899#2.168,0 days 08:49:00,0,0
221731899#2.168,0 days 08:50:00,3,79.0014429
221731899#2.168,0 days 08:50:30,0,0
221731899#2.168,0 days 08:51:00,1,24.82342102
221731899#2.168,0 days 08:51:30,1,27.85341208
221731899#2.168,0 days 08:52:00,0,0
221731899#2.168,0 days 08:52:30,0,0
221731899#2.168,0 days 08:53:00,3,89.4515852
221731899#2.168,0 days 08:53:30,0,0
221731899#2.168,0 days 08:54:30,3,71.8599439
221731899#2.168,0 days 08:55:00,0,0
221731899#2.168,0 days 08:56:00,3,84.1450474
221731899#2.168,0 days 08:56:30,0,0
221731899#2.168,0 days 08:57:30,2,54.57804833
221731899#2.168,0 days 08:58:00,0,0
221731899#2.168,0 days 08:59:00,3,67.79228635
221731899#2.168,0 days 08:59:30,0,0
221731899#2.168,0 days 09:00:30,4,101.6915058
221731899#2.168,0 days 09:01:00,0,0
221731899#2.168,0 days 09:02:00,2,57.03163989
221731899#2.168,0 days 09:02:30,0,0
221731899#2.168,0 days 09:03:30,4,98.09898198
221731899#2.168,0 days 09:04:00,0,0
221731899#2.168,0 days 09:05:00,3,62.60257742
221731899#2.168,0 days 09:05:30,0,0
221731899#2.168,0 days 09:06:30,2,55.18982825
221731899#2.168,0 days 09:07:00,0,0
221731899#2.168,0 days 09:08:00,3,86.33797977
221731899#2.168,0 days 09:08:30,0,0
221731899#2.168,0 days 09:09:30,2,54.24475516
221731899#2.168,0 days 09:10:00,0,0
221731899#2.168,0 days 09:11:00,4,95.82559419
221731899#2.168,0 days 09:11:30,0,0
221731899#2.168,0 days 09:12:30,2,54.4085593
221731899#2.168,0 days 09:13:00,0,0
221731899#2.168,0 days 09:14:00,1,24.82342102
221731899#2.168,0 days 09:14:30,0,0
221731899#2.168,0 days 09:15:00,1,24.82342102
221731899#2.168,0 days 09:15:30,3,78.42127473
221731899#2.168,0 days 09:16:00,0,0
221731899#2.168,0 days 09:16:30,0,0
221731899#2.168,0 days 09:17:00,2,53.97588669
221731899#2.168,0 days 09:17:30,0,0
221731899#2.168,0 days 09:18:00,0,0
221731899#2.168,0 days 09:18:30,1,27.85341208
221731899#2.168,0 days 09:19:00,0,0
221731899#2.168,0 days 09:20:00,3,61.24159129
221731899#2.168,0 days 09:20:30,0,0
221731899#2.168,0 days 09:21:30,2,54.09399801
221731899#2.168,0 days 09:22:00,0,0
221731899#2.168,0 days 09:23:00,2,55.22497763
221731899#2.168,0 days 09:23:30,0,0
221731899#2.168,0 days 09:24:30,3,79.97335228
221731899#2.168,0 days 09:25:00,0,0
221731899#2.168,0 days 09:25:30,0,0
221731899#2.168,0 days 09:26:00,2,64.45403486
221731899#2.168,0 days 09:26:30,0,0
221731899#2.168,0 days 09:27:30,1,24.82342102
221731899#2.168,0 days 09:28:00,0,0
221731899#2.168,0 days 09:29:00,0,0
221731899#2.168,0 days 09:29:30,0,0
221731899#2.168,0 days 09:30:30,3,103.5197474
221731899#2.168,0 days 09:31:00,0,0
221731899#2.168,0 days 09:32:00,3,73.23462526
221731899#2.168,0 days 09:32:30,0,0
221731899#2.168,0 days 09:33:00,0,0
221731899#2.168,0 days 09:33:30,2,50.63248819
221731899#2.168,0 days 09:34:00,0,0
221731899#2.168,0 days 09:35:00,1,27.85341208
221731899#2.168,0 days 09:35:30,0,0
221731899#2.168,0 days 09:36:30,3,75.41651314
221731899#2.168,0 days 09:37:00,0,0
221731899#2.168,0 days 09:38:00,0,0
221731899#2.168,0 days 09:38:30,0,0
221731899#2.168,0 days 09:39:30,3,71.63178383
221731899#2.168,0 days 09:40:00,0,0
221731899#2.168,0 days 09:40:30,0,0
221731899#2.168,0 days 09:41:00,3,79.60365948
221731899#2.168,0 days 09:41:30,0,0
221731899#2.168,0 days 09:42:30,2,51.88826593
221731899#2.168,0 days 09:43:00,0,0
221731899#2.168,0 days 09:44:00,2,55.25340554
221731899#2.168,0 days 09:44:30,0,0
221731899#2.168,0 days 09:45:30,2,54.74031596
221731899#2.168,0 days 09:46:00,0,0
221731899#2.168,0 days 09:47:00,1,24.82342102
221731899#2.168,0 days 09:47:30,0,0
221731899#2.168,0 days 09:48:30,1,24.82342102
221731899#2.168,0 days 09:49:00,0,0
221731899#2.168,0 days 09:50:00,3,71.22941006
221731899#2.168,0 days 09:50:30,0,0
221731899#2.168,0 days 09:51:30,4,106.0307933
221731899#2.168,0 days 09:52:00,0,0
221731899#2.168,0 days 09:52:30,0,0
221731899#2.168,0 days 09:53:00,2,53.50800861
221731899#2.168,0 days 09:53:30,0,0
221731899#2.168,0 days 09:54:30,2,38.66772425
221731899#2.168,0 days 09:55:00,0,0
221731899#2.168,0 days 09:56:00,2,57.86949205
221731899#2.168,0 days 09:56:30,0,0
221731899#2.168,0 days 09:57:00,0,0
221731899#2.168,0 days 09:57:30,2,55.49657099
221731899#2.168,0 days 09:58:00,0,0
221731899#2.168,0 days 09:59:00,1,27.85341208
221731899#2.168,0 days 09:59:30,0,0
221731899#2.168,0 days 10:00:30,2,54.3662906
221731899#2.168,0 days 10:01:00,0,0
221731899#2.168,0 days 10:02:00,3,74.30530495
221731899#2.168,0 days 10:02:30,0,0
221731899#2.168,0 days 10:03:30,2,41.72013961
221731899#2.168,0 days 10:04:00,0,0
221731899#2.168,0 days 10:05:00,2,54.34183411
221731899#2.168,0 days 10:05:30,0,0
221731899#2.168,0 days 10:06:30,3,72.564476
221731899#2.168,0 days 10:07:00,0,0
221731899#2.168,0 days 10:07:30,0,0
221731899#2.168,0 days 10:08:00,2,55.15194196
221731899#2.168,0 days 10:08:30,0,0
221731899#2.168,0 days 10:09:30,1,27.85341208
221731899#2.168,0 days 10:10:00,0,0
221731899#2.168,0 days 10:11:00,4,93.76206512
221731899#2.168,0 days 10:11:30,0,0
221731899#2.168,0 days 10:12:00,1,24.82342102
221731899#2.168,0 days 10:12:30,1,24.82342102
221731899#2.168,0 days 10:13:00,0,0
221731899#2.168,0 days 10:14:00,2,55.21507283
221731899#2.168,0 days 10:14:30,0,0
221731899#2.168,0 days 10:15:30,3,74.62301459
221731899#2.168,0 days 10:16:00,0,0
221731899#2.168,0 days 10:17:00,2,54.3662906
221731899#2.168,0 days 10:17:30,0,0
221731899#2.168,0 days 10:18:30,1,27.85341208
221731899#2.168,0 days 10:19:00,0,0
221731899#2.168,0 days 10:19:30,1,24.82342102
221731899#2.168,0 days 10:20:00,1,24.82342102
5677903#1,0 days 07:00:00,1,14.74902403
5677903#1,0 days 07:00:30,1,14.74902403
5677903#1,0 days 07:01:00,2,49.614247
5677903#1,0 days 07:01:30,4,84.66400432
5677903#1,0 days 07:02:00,5,103.1652516
5677903#1,0 days 07:02:30,5,79.88907804
5677903#1,0 days 07:03:00,2,59.67710373
5677903#1,0 days 07:03:30,5,99.34110006
5677903#1,0 days 07:04:00,7,144.75061
5677903#1,0 days 07:04:30,7,139.4762226
5677903#1,0 days 07:05:00,3,65.25007047
5677903#1,0 days 07:05:30,5,88.78812452
5677903#1,0 days 07:06:00,6,104.0247728
5677903#1,0 days 07:06:30,6,84.82171318
5677903#1,0 days 07:07:00,0,0
5677903#1,0 days 07:07:30,3,59.79373687
5677903#1,0 days 07:08:00,5,107.661322
5677903#1,0 days 07:08:30,5,94.83424603
5677903#1,0 days 07:09:00,1,16.44506023
5677903#1,0 days 07:09:30,3,49.2867724
5677903#1,0 days 07:10:00,5,95.1241127
5677903#1,0 days 07:10:30,6,120.960451
5677903#1,0 days 07:11:00,1,16.44506023
5677903#1,0 days 07:11:30,5,97.64782115
5677903#1,0 days 07:12:00,4,81.55752177
5677903#1,0 days 07:12:30,4,84.94431941
5677903#1,0 days 07:13:00,1,16.44506023
5677903#1,0 days 07:13:30,6,119.7826374
5677903#1,0 days 07:14:00,7,148.2116175
5677903#1,0 days 07:14:30,7,128.7468075
5677903#1,0 days 07:15:00,2,60.24346095
5677903#1,0 days 07:15:30,4,105.2734132
5677903#1,0 days 07:16:00,5,108.4714053
5677903#1,0 days 07:16:30,4,85.25535408
5677903#1,0 days 07:17:00,0,0
5677903#1,0 days 07:17:30,3,62.92333938
5677903#1,0 days 07:18:00,4,75.57500925
5677903#1,0 days 07:18:30,4,109.872002
5677903#1,0 days 07:19:00,1,16.44506023
5677903#1,0 days 07:19:30,3,59.60381158
5677903#1,0 days 07:20:00,6,116.8828588
5677903#1,0 days 07:20:30,7,146.7245023
5677903#1,0 days 07:21:00,1,16.44506023
5677903#1,0 days 07:21:30,6,130.0646762
5677903#1,0 days 07:22:00,5,98.81115235
5677903#1,0 days 07:22:30,5,77.37204745
5677903#1,0 days 07:23:00,3,63.16481949
5677903#1,0 days 07:23:30,5,131.8167155
5677903#1,0 days 07:24:00,8,150.1423124
5677903#1,0 days 07:24:30,8,144.2936423
5677903#1,0 days 07:25:00,3,70.27486652
5677903#1,0 days 07:25:30,5,113.2417114
5677903#1,0 days 07:26:00,4,88.964765
5677903#1,0 days 07:26:30,5,105.6576039
5677903#1,0 days 07:27:00,0,0
5677903#1,0 days 07:27:30,3,62.50187557
5677903#1,0 days 07:28:00,5,77.78262077
5677903#1,0 days 07:28:30,4,55.91020844
5677903#1,0 days 07:29:00,1,14.74902403
5677903#1,0 days 07:29:30,3,65.0637876
5677903#1,0 days 07:30:00,6,118.6494787
5677903#1,0 days 07:30:30,6,112.8751951
5677903#1,0 days 07:31:00,2,31.99336343
5677903#1,0 days 07:31:30,5,104.908042
5677903#1,0 days 07:32:00,5,85.77810174
5677903#1,0 days 07:32:30,4,62.50187557
5677903#1,0 days 07:33:00,2,44.73846816
5677903#1,0 days 07:33:30,6,114.1723718
5677903#1,0 days 07:34:00,6,113.6423915
5677903#1,0 days 07:34:30,7,119.8558216
5677903#1,0 days 07:35:00,3,48.22742442
5677903#1,0 days 07:35:30,4,83.10500348
5677903#1,0 days 07:36:00,5,94.48095731
5677903#1,0 days 07:36:30,4,78.97586916
5677903#1,0 days 07:37:00,0,0
5677903#1,0 days 07:37:30,3,62.04030306
5677903#1,0 days 07:38:00,4,92.61109715
5677903#1,0 days 07:38:30,5,94.66715462
5677903#1,0 days 07:39:00,1,14.74902403
5677903#1,0 days 07:39:30,2,46.9606649
5677903#1,0 days 07:40:00,6,111.2852667
5677903#1,0 days 07:40:30,6,105.9493286
5677903#1,0 days 07:41:00,1,16.44506023
5677903#1,0 days 07:41:30,5,102.6115471
5677903#1,0 days 07:42:00,5,82.64183307
5677903#1,0 days 07:42:30,4,81.09529109
5677903#1,0 days 07:43:00,2,59.2507324
5677903#1,0 days 07:43:30,6,143.0263886
5677903#1,0 days 07:44:00,7,162.6193535
5677903#1,0 days 07:44:30,7,142.7169528
5677903#1,0 days 07:45:00,3,49.00648773
5677903#1,0 days 07:45:30,4,77.29910106
5677903#1,0 days 07:46:00,6,91.1677617
5677903#1,0 days 07:46:30,5,69.11198137
5677903#1,0 days 07:47:00,0,0
5677903#1,0 days 07:47:30,3,56.40041666
5677903#1,0 days 07:48:00,4,67.43255736
5677903#1,0 days 07:48:30,5,105.6878584
5677903#1,0 days 07:49:00,2,41.94184967
5677903#1,0 days 07:49:30,3,75.35618418
5677903#1,0 days 07:50:00,9,168.8826364
5677903#1,0 days 07:50:30,9,163.9478685
5677903#1,0 days 07:51:00,2,47.21779287
5677903#1,0 days 07:51:30,6,120.6071428
5677903#1,0 days 07:52:00,6,100.7344811
5677903#1,0 days 07:52:30,6,97.26429787
5677903#1,0 days 07:53:00,3,64.72023191
5677903#1,0 days 07:53:30,8,155.9179809
5677903#1,0 days 07:54:00,9,181.2561041
5677903#1,0 days 07:54:30,8,142.0834378
5677903#1,0 days 07:55:00,4,93.06780852
5677903#1,0 days 07:55:30,5,111.237203
5677903#1,0 days 07:56:00,6,123.4642739
5677903#1,0 days 07:56:30,6,109.1903804
5677903#1,0 days 07:57:00,1,16.44506023
5677903#1,0 days 07:57:30,4,107.1313553
5677903#1,0 days 07:58:00,7,134.8811837
5677903#1,0 days 07:58:30,7,139.5493899
5677903#1,0 days 07:59:00,2,47.61419575
5677903#1,0 days 07:59:30,4,80.7721919
5677903#1,0 days 08:00:00,9,178.191588
5677903#1,0 days 08:00:30,9,158.8788335
5677903#1,0 days 08:01:00,3,47.18807542
5677903#1,0 days 08:01:30,5,100.100873
5677903#1,0 days 08:02:00,6,103.9945213
5677903#1,0 days 08:02:30,7,116.5724333
5677903#1,0 days 08:03:00,2,47.97804495
5677903#1,0 days 08:03:30,5,105.4193811
5677903#1,0 days 08:04:00,8,173.3298225
5677903#1,0 days 08:04:30,8,170.2653109
5677903#1,0 days 08:05:00,3,70.28799262
5677903#1,0 days 08:05:30,5,90.40859981
5677903#1,0 days 08:06:00,6,102.7277048
5677903#1,0 days 08:06:30,7,113.8619604
5677903#1,0 days 08:07:00,0,0
5677903#1,0 days 08:07:30,2,50.37703688
5677903#1,0 days 08:08:00,6,111.9616264
5677903#1,0 days 08:08:30,6,104.3780802
5677903#1,0 days 08:09:00,1,14.74902403
5677903#1,0 days 08:09:30,3,73.94317567
5677903#1,0 days 08:10:00,5,123.744585
5677903#1,0 days 08:10:30,6,124.1708944
5677903#1,0 days 08:11:00,1,16.44506023
5677903#1,0 days 08:11:30,5,94.37752793
5677903#1,0 days 08:12:00,5,71.68764023
5677903#1,0 days 08:12:30,5,71.68764023
5677903#1,0 days 08:13:00,3,66.29981123
5677903#1,0 days 08:13:30,6,100.4009987
5677903#1,0 days 08:14:00,6,128.3408703
5677903#1,0 days 08:14:30,7,131.3480473
5677903#1,0 days 08:15:00,3,59.68284793
5677903#1,0 days 08:15:30,5,88.05085425
5677903#1,0 days 08:16:00,5,100.2243486
5677903#1,0 days 08:16:30,5,67.5347021
5677903#1,0 days 08:17:30,3,65.66486195
5677903#1,0 days 08:18:00,5,123.8333122
5677903#1,0 days 08:18:30,5,119.7968695
5677903#1,0 days 08:19:00,1,14.74902403
5677903#1,0 days 08:19:30,3,50.62645065
5677903#1,0 days 08:20:00,5,82.25842482
5677903#1,0 days 08:20:30,5,96.68321662
5677903#1,0 days 08:21:00,2,53.93882336
5677903#1,0 days 08:21:30,5,96.53726547
5677903#1,0 days 08:22:00,5,80.89321054
5677903#1,0 days 08:22:30,5,89.30649996
5677903#1,0 days 08:23:00,2,43.91065014
5677903#1,0 days 08:23:30,5,120.0930749
5677903#1,0 days 08:24:00,7,135.3218498
5677903#1,0 days 08:24:30,7,120.8300261
5677903#1,0 days 08:25:00,3,73.10223409
5677903#1,0 days 08:25:30,4,80.74204519
5677903#1,0 days 08:26:00,5,92.0079536
5677903#1,0 days 08:26:30,4,79.88620023
5677903#1,0 days 08:27:00,0,0
5677903#1,0 days 08:27:30,2,42.01520384
5677903#1,0 days 08:28:00,4,97.69080262
5677903#1,0 days 08:28:30,4,72.82049777
5677903#1,0 days 08:29:00,1,14.74902403
5677903#1,0 days 08:29:30,2,59.294076
5677903#1,0 days 08:30:00,3,76.05961214
5677903#1,0 days 08:30:30,3,46.63848797
5677903#1,0 days 08:31:00,2,41.36455312
5677903#1,0 days 08:31:30,5,103.141506
5677903#1,0 days 08:32:00,4,75.57500925
5677903#1,0 days 08:32:30,4,62.17875034
5677903#1,0 days 08:33:00,2,46.76196521
